country,lau,cases,datetime
IE,Meath,7014.0,2020-04-23T00:00:00
IE,Kildare,10173.0,2020-04-23T00:00:00
IE,Cork,16887.0,2020-04-23T00:00:00
IE,Dublin,119045.0,2020-04-23T00:00:00
IE,Leitrim,822.0,2020-04-24T00:00:00
IE,Carlow,982.0,2020-04-24T00:00:00
IE,Roscommon,1169.0,2020-04-24T00:00:00
IE,Sligo,1366.0,2020-04-24T00:00:00
IE,Longford,1381.0,2020-04-24T00:00:00
IE,Wexford,1508.0,2020-04-24T00:00:00
IE,Waterford,2076.0,2020-04-24T00:00:00
IE,Laois,2315.0,2020-04-24T00:00:00
IE,Clare,2733.0,2020-04-24T00:00:00
IE,Monaghan,2834.0,2020-04-24T00:00:00
IE,Offaly,3188.0,2020-04-24T00:00:00
IE,Kilkenny,3397.0,2020-04-24T00:00:00
IE,Kerry,4688.0,2020-04-24T00:00:00
IE,Mayo,4927.0,2020-04-24T00:00:00
IE,Tipperary,5219.0,2020-04-24T00:00:00
IE,Galway,5288.0,2020-04-24T00:00:00
IE,Cavan,5722.0,2020-04-24T00:00:00
IE,Donegal,5773.0,2020-04-24T00:00:00
IE,Westmeath,5820.0,2020-04-24T00:00:00
IE,Louth,5876.0,2020-04-24T00:00:00
IE,Limerick,6429.0,2020-04-24T00:00:00
IE,Wicklow,7258.0,2020-04-24T00:00:00
IE,Meath,7582.0,2020-04-24T00:00:00
IE,Kildare,11127.0,2020-04-24T00:00:00
IE,Cork,17983.0,2020-04-24T00:00:00
IE,Dublin,127774.0,2020-04-24T00:00:00
IE,Leitrim,884.0,2020-04-25T00:00:00
IE,Carlow,1070.0,2020-04-25T00:00:00
IE,Roscommon,1283.0,2020-04-25T00:00:00
IE,Sligo,1470.0,2020-04-25T00:00:00
IE,Longford,1494.0,2020-04-25T00:00:00
IE,Wexford,1659.0,2020-04-25T00:00:00
IE,Waterford,2205.0,2020-04-25T00:00:00
IE,Laois,2519.0,2020-04-25T00:00:00
IE,Clare,2940.0,2020-04-25T00:00:00
IE,Monaghan,3161.0,2020-04-25T00:00:00
IE,Offaly,3410.0,2020-04-25T00:00:00
IE,Kilkenny,3626.0,2020-04-25T00:00:00
IE,Kerry,4964.0,2020-04-25T00:00:00
IE,Mayo,5322.0,2020-04-25T00:00:00
IE,Tipperary,5564.0,2020-04-25T00:00:00
IE,Galway,5620.0,2020-04-25T00:00:00
IE,Donegal,6210.0,2020-04-25T00:00:00
IE,Westmeath,6241.0,2020-04-25T00:00:00
IE,Cavan,6258.0,2020-04-25T00:00:00
IE,Louth,6466.0,2020-04-25T00:00:00
IE,Limerick,6870.0,2020-04-25T00:00:00
IE,Wicklow,7816.0,2020-04-25T00:00:00
IE,Meath,8160.0,2020-04-25T00:00:00
IE,Kildare,12130.0,2020-04-25T00:00:00
IE,Cork,19086.0,2020-04-25T00:00:00
IE,Dublin,136784.0,2020-04-25T00:00:00
IE,Leitrim,948.0,2020-04-26T00:00:00
IE,Carlow,1161.0,2020-04-26T00:00:00
IE,Roscommon,1399.0,2020-04-26T00:00:00
IE,Sligo,1574.0,2020-04-26T00:00:00
IE,Longford,1618.0,2020-04-26T00:00:00
IE,Wexford,1815.0,2020-04-26T00:00:00
IE,Waterford,2340.0,2020-04-26T00:00:00
IE,Laois,2724.0,2020-04-26T00:00:00
IE,Clare,3149.0,2020-04-26T00:00:00
IE,Monaghan,3511.0,2020-04-26T00:00:00
IE,Offaly,3635.0,2020-04-26T00:00:00
IE,Kilkenny,3856.0,2020-04-26T00:00:00
IE,Kerry,5241.0,2020-04-26T00:00:00
IE,Mayo,5757.0,2020-04-26T00:00:00
IE,Tipperary,5910.0,2020-04-26T00:00:00
IE,Galway,5952.0,2020-04-26T00:00:00
IE,Donegal,6656.0,2020-04-26T00:00:00
IE,Westmeath,6678.0,2020-04-26T00:00:00
IE,Cavan,6832.0,2020-04-26T00:00:00
IE,Louth,7063.0,2020-04-26T00:00:00
IE,Limerick,7312.0,2020-04-26T00:00:00
IE,Wicklow,8377.0,2020-04-26T00:00:00
IE,Meath,8773.0,2020-04-26T00:00:00
IE,Kildare,13158.0,2020-04-26T00:00:00
IE,Cork,20196.0,2020-04-26T00:00:00
IE,Dublin,146008.0,2020-04-26T00:00:00
IE,Leitrim,1014.0,2020-04-27T00:00:00
IE,Carlow,1253.0,2020-04-27T00:00:00
IE,Roscommon,1534.0,2020-04-27T00:00:00
IE,Sligo,1688.0,2020-04-27T00:00:00
IE,Longford,1747.0,2020-04-27T00:00:00
IE,Wexford,1977.0,2020-04-27T00:00:00
IE,Waterford,2477.0,2020-04-27T00:00:00
IE,Laois,2929.0,2020-04-27T00:00:00
IE,Clare,3361.0,2020-04-27T00:00:00
IE,Offaly,3863.0,2020-04-27T00:00:00
IE,Monaghan,3884.0,2020-04-27T00:00:00
IE,Kilkenny,4089.0,2020-04-27T00:00:00
IE,Kerry,5529.0,2020-04-27T00:00:00
IE,Mayo,6221.0,2020-04-27T00:00:00
IE,Tipperary,6274.0,2020-04-27T00:00:00
IE,Galway,6287.0,2020-04-27T00:00:00
IE,Donegal,7108.0,2020-04-27T00:00:00
IE,Westmeath,7124.0,2020-04-27T00:00:00
IE,Cavan,7441.0,2020-04-27T00:00:00
IE,Louth,7690.0,2020-04-27T00:00:00
IE,Limerick,7769.0,2020-04-27T00:00:00
IE,Wicklow,8934.0,2020-04-27T00:00:00
IE,Meath,9399.0,2020-04-27T00:00:00
IE,Kildare,14285.0,2020-04-27T00:00:00
IE,Cork,21321.0,2020-04-27T00:00:00
IE,Dublin,155540.0,2020-04-27T00:00:00
IE,Leitrim,1081.0,2020-04-28T00:00:00
IE,Carlow,1346.0,2020-04-28T00:00:00
IE,Roscommon,1675.0,2020-04-28T00:00:00
IE,Sligo,1805.0,2020-04-28T00:00:00
IE,Longford,1882.0,2020-04-28T00:00:00
IE,Wexford,2139.0,2020-04-28T00:00:00
IE,Waterford,2615.0,2020-04-28T00:00:00
IE,Laois,3141.0,2020-04-28T00:00:00
IE,Clare,3590.0,2020-04-28T00:00:00
IE,Offaly,4099.0,2020-04-28T00:00:00
IE,Monaghan,4269.0,2020-04-28T00:00:00
IE,Kilkenny,4322.0,2020-04-28T00:00:00
IE,Kerry,5817.0,2020-04-28T00:00:00
IE,Galway,6619.0,2020-04-28T00:00:00
IE,Tipperary,6644.0,2020-04-28T00:00:00
IE,Mayo,6687.0,2020-04-28T00:00:00
IE,Donegal,7561.0,2020-04-28T00:00:00
IE,Westmeath,7572.0,2020-04-28T00:00:00
IE,Cavan,8068.0,2020-04-28T00:00:00
IE,Limerick,8287.0,2020-04-28T00:00:00
IE,Louth,8330.0,2020-04-28T00:00:00
IE,Wicklow,9492.0,2020-04-28T00:00:00
IE,Meath,10037.0,2020-04-28T00:00:00
