country,nuts_2,nuts_3,lau,cases,population,datetime
PT,Centro,CASTELO BRANCO,SERTÃ,446,14577,2021-01-09T00:00:00
PT,Norte,VIANA DO CASTELO,MONÇÃO,448,17869,2021-01-09T00:00:00
PT,Norte,PORTO,VILA NOVA DE GAIA,449,300472,2021-01-09T00:00:00
PT,Centro,COIMBRA,SOURE,450,17120,2021-01-09T00:00:00
PT,Centro,AVEIRO,ÁGUEDA,451,46075,2021-01-09T00:00:00
PT,Norte,PORTO,PAREDES,452,86067,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LEIRIA,CALDAS DA RAINHA,453,51912,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,LOURES,454,213687,2021-01-09T00:00:00
PT,Alentejo,ÉVORA,ARRAIOLOS,462,6928,2021-01-09T00:00:00
PT,Norte,BRAGANÇA,VILA FLOR,463,6044,2021-01-09T00:00:00
PT,Norte,PORTO,MATOSINHOS,463,175357,2021-01-09T00:00:00
PT,Norte,PORTO,PORTO,470,216606,2021-01-09T00:00:00
PT,Alentejo,PORTALEGRE,FRONTEIRA,471,2974,2021-01-09T00:00:00
PT,Norte,PORTO,VALONGO,472,97444,2021-01-09T00:00:00
PT,Alentejo,PORTALEGRE,ALTER DO CHÃO,474,3165,2021-01-09T00:00:00
PT,Norte,BRAGANÇA,MOGADOURO,477,8392,2021-01-09T00:00:00
PT,Centro,COIMBRA,CANTANHEDE,477,35011,2021-01-09T00:00:00
PT,Centro,AVEIRO,VAGOS,479,22740,2021-01-09T00:00:00
PT,Centro,AVEIRO,ÍLHAVO,481,38699,2021-01-09T00:00:00
PT,Centro,VISEU,VISEU,483,97249,2021-01-09T00:00:00
PT,Norte,BRAGA,AMARES,485,18129,2021-01-09T00:00:00
PT,Norte,PORTO,FELGUEIRAS,496,56422,2021-01-09T00:00:00
PT,Norte,VILA REAL,BOTICAS,500,4998,2021-01-09T00:00:00
PT,Centro,VISEU,SÃO PEDRO DO SUL,500,15403,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SETÚBAL,MOITA,500,64407,2021-01-09T00:00:00
PT,Centro,GUARDA,SABUGAL,501,10585,2021-01-09T00:00:00
