"YEAR_WEEK","NIS5","AGEGROUP","DOSE","CUMUL"
"21W01",23025,"55-64","A","<10"
"21W01",23025,"65-74","A","<10"
"21W01",23025,"75-84","A","11"
"21W01",23025,"85+","A","82"
"21W01",23027,"18-34","A","<10"
"21W01",23027,"35-44","A","<10"
"21W01",23027,"45-54","A","<10"
"21W01",23027,"55-64","A","<10"
"21W01",23027,"65-74","A","<10"
"21W01",23027,"75-84","A","<10"
"21W01",23027,"85+","A","<10"
"21W01",23032,"18-34","A","<10"
"21W01",23032,"35-44","A","<10"
"21W01",23032,"45-54","A","<10"
"21W01",23032,"55-64","A","<10"
"21W01",23032,"75-84","A","<10"
"21W01",23032,"85+","A","<10"
"21W01",23033,"35-44","A","<10"
"21W01",23033,"55-64","A","<10"
"21W01",23033,"85+","A","<10"
"21W01",23038,"18-34","A","<10"
"21W01",23038,"35-44","A","<10"
"21W01",23038,"45-54","A","<10"
"21W01",23038,"55-64","A","<10"
"21W01",23038,"65-74","A","<10"
"21W01",23038,"75-84","A","<10"
"21W01",23038,"85+","A","<10"
"21W01",23039,"18-34","A","<10"
"21W01",23039,"35-44","A","<10"
"21W01",23039,"45-54","A","<10"
"21W01",23039,"55-64","A","<10"
"21W01",23039,"65-74","A","<10"
"21W01",23039,"75-84","A","23"
"21W01",23039,"85+","A","74"
"21W01",23044,"18-34","A","<10"
"21W01",23044,"45-54","A","<10"
"21W01",23044,"75-84","A","<10"
"21W01",23044,"85+","A","<10"
"21W01",23045,"18-34","A","<10"
"21W01",23045,"35-44","A","<10"
"21W01",23045,"45-54","A","<10"
"21W01",23045,"55-64","A","<10"
"21W01",23045,"65-74","A","<10"
"21W01",23045,"75-84","A","30"
"21W01",23045,"85+","A","78"
"21W01",23047,"35-44","A","<10"
"21W01",23047,"45-54","A","<10"
"21W01",23047,"65-74","A","<10"
"21W01",23047,"75-84","A","<10"
"21W01",23047,"85+","A","<10"
"21W01",23050,"18-34","A","<10"
"21W01",23050,"35-44","A","<10"
"21W01",23050,"45-54","A","<10"
"21W01",23050,"55-64","A","14"
"21W01",23050,"65-74","A","22"
"21W01",23050,"75-84","A","45"
"21W01",23050,"85+","A","94"
"21W01",23052,"35-44","A","<10"
"21W01",23052,"45-54","A","<10"
"21W01",23052,"55-64","A","<10"
"21W01",23052,"65-74","A","<10"
"21W01",23052,"85+","A","<10"
"21W01",23060,"18-34","A","<10"
"21W01",23060,"35-44","A","<10"
"21W01",23060,"45-54","A","<10"
"21W01",23060,"55-64","A","<10"
"21W01",23062,"18-34","A","<10"
"21W01",23062,"65-74","A","<10"
"21W01",23062,"75-84","A","<10"
"21W01",23062,"85+","A","<10"
"21W01",23064,"45-54","A","<10"
"21W01",23064,"55-64","A","<10"
"21W01",23077,"18-34","A","<10"
"21W01",23077,"35-44","A","<10"
"21W01",23077,"45-54","A","<10"
"21W01",23077,"55-64","A","<10"
"21W01",23077,"65-74","A","<10"
"21W01",23077,"75-84","A","<10"
"21W01",23077,"85+","A","<10"
"21W01",23081,"35-44","A","<10"
"21W01",23081,"45-54","A","<10"
"21W01",23081,"55-64","A","<10"
"21W01",23081,"75-84","A","<10"
"21W01",23081,"85+","A","<10"
"21W01",23086,"35-44","A","<10"
"21W01",23086,"45-54","A","<10"
"21W01",23086,"55-64","A","<10"
"21W01",23086,"85+","A","<10"
"21W01",23088,"18-34","A","<10"
"21W01",23088,"35-44","A","<10"
"21W01",23088,"45-54","A","<10"
"21W01",23088,"55-64","A","<10"
"21W01",23088,"65-74","A","<10"
"21W01",23088,"75-84","A","<10"
"21W01",23088,"85+","A","<10"
"21W01",23094,"18-34","A","<10"
"21W01",23094,"35-44","A","<10"
"21W01",23094,"45-54","A","<10"
"21W01",23094,"55-64","A","<10"
"21W01",23094,"65-74","A","<10"
"21W01",23094,"75-84","A","<10"
