country,lau,hospitalized,population,hospitalized/100k pop.,deaths,cases,datetime
NL,Wormerland,10,16299.0,61.4,,,2020-04-02T17:21:00
NL,Oisterwijk,10,26241.0,38.1,,,2020-04-02T17:21:00
NL,Epe,10,33186.0,30.1,,,2020-04-02T17:21:00
NL,Pijnacker-Nootdorp,10,55329.0,18.1,,,2020-04-02T17:21:00
NL,Zuidplas,10,43894.0,22.8,,,2020-04-02T17:21:00
NL,Alphen-Chaam,10,10213.0,97.9,,,2020-04-02T17:21:00
NL,Schagen,10,46482.0,21.5,,,2020-04-02T17:21:00
NL,Borne,10,23313.0,42.9,,,2020-04-02T17:21:00
NL,Oldenzaal,10,31832.0,31.4,,,2020-04-02T17:21:00
NL,Gorinchem,10,37009.0,27.0,,,2020-04-02T17:21:00
NL,Molenlanden,10,43931.0,22.8,,,2020-04-02T17:21:00
NL,Edam-Volendam,10,36201.0,27.6,,,2020-04-02T17:21:00
NL,Hof van Twente,10,35013.0,28.6,,,2020-04-02T17:21:00
NL,Dongen,10,26226.0,38.1,,,2020-04-02T17:21:00
NL,Westerkwartier,10,63375.0,15.8,,,2020-04-02T17:21:00
NL,Soest,10,46607.0,21.5,,,2020-04-02T17:21:00
NL,Zaltbommel,10,28901.0,34.6,,,2020-04-02T17:21:00
NL,Lopik,10,14471.0,69.1,,,2020-04-02T17:21:00
NL,Hardenberg,10,60940.0,16.4,,,2020-04-02T17:21:00
NL,Heumen,10,16450.0,60.8,,,2020-04-02T17:21:00
NL,Medemblik,10,45104.0,22.2,,,2020-04-02T17:21:00
NL,Beesel,11,13483.0,81.6,,,2020-04-02T17:21:00
NL,De Fryske Marren,11,51567.0,21.3,,,2020-04-02T17:21:00
NL,Boxmeer,11,29371.0,37.5,,,2020-04-02T17:21:00
NL,Utrechtse Heuvelrug,11,49601.0,22.2,,,2020-04-02T17:21:00
NL,"Nuenen, Gerwen en Nederwetten",11,23379.0,47.1,,,2020-04-02T17:21:00
NL,Stede Broec,11,21734.0,50.6,,,2020-04-02T17:21:00
NL,Maasdriel,11,25034.0,43.9,,,2020-04-02T17:21:00
NL,Renkum,11,31404.0,35.0,,,2020-04-02T17:21:00
NL,Grave,11,12437.0,88.4,,,2020-04-02T17:21:00
NL,Ermelo,11,27005.0,40.7,,,2020-04-02T17:21:00
NL,Gennep,11,16924.0,65.0,,,2020-04-02T17:21:00
NL,Bladel,11,20395.0,53.9,,,2020-04-02T17:21:00
NL,Bergen (NH.),11,29844.0,36.9,,,2020-04-02T17:21:00
NL,Katwijk,11,65754.0,16.7,,,2020-04-02T17:21:00
NL,Urk,12,21033.0,57.1,,,2020-04-02T17:21:00
NL,Dronten,12,41569.0,28.9,,,2020-04-02T17:21:00
NL,Roosendaal,12,77226.0,15.5,,,2020-04-02T17:21:00
NL,Almelo,12,73080.0,16.4,,,2020-04-02T17:21:00
NL,Huizen,12,41273.0,29.1,,,2020-04-02T17:21:00
NL,Middelburg,12,48810.0,24.6,,,2020-04-02T17:21:00
NL,Groningen,12,232922.0,5.2,,,2020-04-02T17:21:00
